Trial_set,Trial,det,time.x,time.y,time_diff
29,5,Mleash,1.1811,1.1811,0
30,1,Mband,0.0678,0.9022,0.8344
30,2,Control,0.475,1.6342,1.1592
30,4,Wax,0.5333,5.9553,5.422
30,5,Rpela,0.1417,3.1475,3.0058
30,6,Mleash,0.2939,3.9889,3.695
31,1,Rpela,3.2981,6.1317,2.8336
31,2,Wax,1.9861,4.9683,2.9822
31,3,Mband,6.1295,NA,NA
31,4,Mleash,3.3583,6.3183,2.96
31,5,SS,3.9783,NA,NA
31,6,Control,0.4219,6.9872,6.5653
32,1,SS,0.5253,NA,NA
32,2,Wax,1.4175,1.7269,0.3094
32,3,Rpela,0.3697,6.0592,5.6895
32,4,Mband,0.6847,0.6847,0
32,5,Control,0.5444,9.0789,8.5345
32,6,Mleash,0.7144,1.9589,1.2445
33,1,Rpela,1.1953,8.5697,7.3744
33,2,Mleash,0.8319,4.0161,3.1842
33,3,Wax,0.8514,5.7925,4.9411
33,4,SS,0.5075,NA,NA
33,5,Mband,4.0047,NA,NA
33,6,Control,0.8631,1.3425,0.4794
34,1,Mleash,0.2608,2.3478,2.087
34,2,Control,0.6742,13.3092,12.635
34,3,Wax,0.9989,13.7639,12.765
34,4,Mband,3.1397,3.8478,0.7081
34,5,Rpela,2.1664,2.1664,0
34,6,SS,1.9722,5.2492,3.277
35,1,SS,0.5717,NA,NA
35,2,Mband,0.8706,NA,NA
35,3,Wax,10.4825,15.0139,4.5314
35,4,Mleash,0.2811,3,2.7189
35,5,Rpela,1.8653,7.2367,5.3714
35,6,Control,0.3697,5.0661,4.6964
36,1,Rpela,3,3.2,0.2
36,2,Control,0.6883,3.4636,2.7753
36,3,SS,1.8411,NA,NA
36,4,Wax,0.4586,3.4472,2.9886
36,5,Mleash,0.2453,1.1853,0.94
36,6,Mband,1.7992,1.8792,0.08
37,1,SS,0.5069,10.5009,9.994
37,2,Mband,0.4386,1.1281,0.6895
37,3,Mleash,1.8572,2.5953,0.7381
37,4,Wax,0.6353,1.8803,1.245
37,5,Rpela,1.9797,1.9797,0
37,6,Control,0.6364,0.6364,0
38,1,Control,3.3139,NA,NA
38,2,Mband,0.5758,0.8469,0.2711
38,3,Rpela,0.6881,3.8208,3.1327
38,4,SS,1.4503,NA,NA
38,5,Wax,5.6272,9.0156,3.3884
38,6,Mleash,1.4119,3.7086,2.2967
39,1,SS,2.1256,NA,NA
39,2,Wax,0.7425,2.5933,1.8508
39,3,Control,1.2306,NA,NA
39,4,Mband,5.0517,NA,NA
39,5,Rpela,0.3922,NA,NA
39,6,Mleash,6.9411,7.6581,0.717
40,1,Mleash,0.3492,11.6236,11.2744
40,2,SS,0.9586,NA,NA
40,3,Wax,2.1744,4.47,2.2956
40,4,Control,0.2914,0.6589,0.3675
40,5,Rpela,0.5208,9.9731,9.4523
40,6,Mband,4.5647,NA,NA
41,1,Mleash,0.8561,NA,NA
41,2,Wax,2.7589,5.8536,3.0947
41,3,Mband,1.8567,14.1003,12.2436
41,4,SS,0.9633,NA,NA
41,5,Rpela,0.2142,NA,NA
41,6,Control,0.4358,0.6631,0.2273
42,1,Wax,1.9494,3.482,1.5326
42,2,Control,5.5442,11.1803,5.6361
42,3,Rpela,2.0586,2.1239,0.0653
42,4,SS,1.2719,NA,NA
42,5,Mleash,1.2636,5.2706,4.007
42,6,Mband,1.4983,4.8542,3.3559
43,1,Wax,3.1592,3.2839,0.1247
43,2,Mleash,1.1061,14.9523,13.8462
43,3,SS,2.9408,NA,NA
43,4,Mband,0.9367,NA,NA
43,5,Rpela,0.9236,2.23,1.3064
43,6,Control,1.1597,6.842,5.6823
44,1,Control,2.0508,2.0508,0
44,2,SS,1.5369,NA,NA
44,3,Rpela,5.3333,10.5559,5.2226
44,4,Mband,2.5214,3.075,0.5536
44,5,Wax,0.3581,2.0331,1.675
44,6,Mleash,0.8361,0.8361,0
45,1,Control,1.0919,1.0919,0
45,2,SS,3.4356,NA,NA
45,3,Mleash,2.98,2.98,0
45,4,Rpela,2.7772,9.7367,6.9595
45,5,Mband,0.8119,1.3503,0.5384
45,6,Wax,0.3414,3.5061,3.1647
46,1,Mband,0.4969,10.3188,9.8219
46,2,Rpela,0.3936,13.7994,13.4058
46,3,SS,0.3375,0.4481,0.1106
46,4,Control,0.6147,0.7114,0.0967
46,5,Mleash,0.1333,0.205,0.0717
46,6,Wax,1.0206,1.0206,0
47,1,Mleash,0.0892,0.4369,0.3477
47,2,Rpela,0.3519,1.3342,0.9823
47,3,Wax,0.6422,0.6422,0
47,4,Mband,0.2942,0.2942,0
47,5,Control,0.3542,0.3542,0
47,6,SS,1.7411,2.0736,0.3325
48,1,SS,0.4311,0.5617,0.1306
48,2,Wax,0.5231,3.1908,2.6677
48,3,Control,0.3675,0.3675,0
48,4,Mband,1.0169,1.405,0.3881
48,5,Rpela,0.3881,0.3881,0
48,6,Mleash,0.8319,2.6583,1.8264
49,1,Rpela,9.1733,9.9511,0.7778
49,2,Mband,1.5019,9.7869,8.285
49,3,SS,8.09,NA,NA
49,4,Control,0.1853,1.7919,1.6066
49,5,Wax,7.1292,NA,NA
49,6,Mleash,0.8847,4.7111,3.8264
50,1,Wax,0.5133,NA,NA
50,2,SS,1.0678,NA,NA
50,3,Rpela,1.1497,1.3558,0.2061
50,4,Mband,0.3278,0.8067,0.4789
50,5,Mleash,0.1942,1.5128,1.3186
50,6,Control,1.0044,14.752,13.7476
