Trial_set,Trial,det,ID,appr
29,3,Mband,Holepunch,2
29,4,Rpela,unknown,4
29,4,Rpela,Holepunch,1
29,4,Rpela,Shark Watch,1
29,5,Mleash,Holepunch,1
30,1,Mband,Holepunch,1
30,1,Mband,Shark Watch,1
30,2,Control,Shark Watch,3
30,4,Wax,unknown,6
30,4,Wax,Holepunch,1
30,4,Wax,Jumpman,4
30,4,Wax,Shark Watch,3
30,5,Rpela,unknown,4
30,5,Rpela,Alpha 5,3
30,6,Mleash,Alpha 5,3
30,6,Mleash,Shark Watch,4
31,1,Rpela,Alpha 5,13
31,2,Wax,Alpha 5,8
31,3,Mband,Aquaman,7
31,3,Mband,Jesse,6
31,4,Mleash,Aquaman,1
31,4,Mleash,Jesse,3
31,5,SS,Backscratch,12
31,5,SS,Jumpman,1
31,6,Control,Backscratch,5
32,1,SS,Jack,1
32,1,SS,Undercoat,2
32,2,Wax,Backscratch,2
32,3,Rpela,Curl,5
32,3,Rpela,Jack,2
32,3,Rpela,Manta,2
32,4,Mband,Curl,1
32,5,Control,Curl,7
32,5,Control,Jack,1
32,6,Mleash,Curl,3
33,1,Rpela,Gilbert,8
33,2,Mleash,Gilbert,4
33,3,Wax,Gilbert,2
33,3,Wax,Jack,6
33,4,SS,unknown,1
33,4,SS,Camo,1
33,4,SS,Gilbert,2
33,4,SS,Jack,16
33,5,Mband,Gilbert,14
33,5,Mband,Jack,1
33,6,Control,Curl,3
34,1,Mleash,Curl,3
34,1,Mleash,Jack,2
34,2,Control,Curl,1
34,2,Control,Gilbert,6
34,2,Control,Jack,3
34,2,Control,Undercoat,3
34,3,Wax,Curl,1
34,3,Wax,Gilbert,6
34,3,Wax,Jack,7
34,4,Mband,Gilbert,2
34,5,Rpela,Gilbert,1
34,6,SS,Gilbert,2
35,1,SS,unknown,1
35,1,SS,Curl,6
35,1,SS,Gilbert,10
35,1,SS,Jack,4
35,1,SS,Undercoat,2
35,2,Mband,Jack,13
35,2,Mband,Undercoat,6
35,3,Wax,Jack,10
35,4,Mleash,Jack,4
35,5,Rpela,unknown,1
35,5,Rpela,Jack,8
35,6,Control,Jack,5
36,1,Rpela,Jack,2
36,2,Control,Jack,6
36,3,SS,Dom,2
36,3,SS,Jack,11
36,4,Wax,Eyebrows,2
36,4,Wax,Jack,2
36,5,Mleash,Jack,3
36,6,Mband,Jack,2
37,1,SS,Jack,26
37,2,Mband,Jack,3
37,3,Mleash,Jack,3
37,4,Wax,Camo,4
37,5,Rpela,Jack,1
37,6,Control,Jack,1
38,1,Control,unknown,1
38,1,Control,Jack,2
38,2,Mband,Camo,1
38,2,Mband,Jack,1
38,3,Rpela,Camo,3
38,3,Rpela,Jack,2
38,4,SS,unknown,1
38,4,SS,Jack,4
38,5,Wax,Jack,4
38,6,Mleash,Dom,3
39,1,SS,unknown,1
39,1,SS,Camo,7
39,2,Wax,Dom,7
39,3,Control,Backscratch,2
39,3,Control,Dom,1
